# 별바라기 혜성 자료 파일
#
# 수정 내용을 반영하려면, 파일을 저장한 후 혜성 다이로그를 닫았다가 다시 띄우십시오.
# '#'으로 시작하는 줄은 프로그램에서 인식하지 않습니다.
# 각 항목을 '|'를 구분자로 사용하여 입력하십시오.
# 순서를 바꾸면 프로그램에서도 바뀐 순서로 나옵니다.
# 중요한 것을 앞쪽에 놓으면 편리합니다.    58 270
# 혜성의 이름은 39자까지 인식되며, 그 뒤는 무시됩니다.
#                                                                                근일점이각      승교점                            
#     이름                              분점        근일점           q         e        w         Node       i       k              ref
#1P/Halley                              |2000|19860205.5244 | 0.585978 |0.967142 |111.3324 |58.42008 | 162.262 |11.5 |15.0 | MPC 29882
#
C/2009 B2 (LINEAR)                     |2000|20090307.6777 | 2.345729 |0.942680 |192.5781 | 18.7562 |156.9066 |12.5 |10.0 | MPC 82315
C/2009 E1 (Itagaki)                    |2000|20090407.2646 | 0.591084 |0.985216 | 48.6072 |105.6216 |127.0561 |11.5 |10.0 | MPC 72850
C/2009 F1 (Larson)                     |2000|20090628.9041 | 1.833321 |0.981084 |219.6848 |357.9348 |171.3763 |15.0 |10.0 | MPC 82315
C/2009 F2 (McNaught)                   |2000|20091112.9758 | 5.906868 |0.983926 |336.5931 |213.9467 | 59.3344 | 6.0 |10.0 | MPC112389
C/2009 F4 (McNaught)                   |2000|20120103.1691 | 5.446385 |1.000482 |260.3701 | 53.5571 | 79.4486 | 3.0 |10.0 | MPC 95208
C/2009 F5 (McNaught)                   |2000|20081031.6253 | 2.263854 |0.971245 |297.4586 |218.8362 | 84.9463 |10.0 |10.0 | MPC 66204
C/2009 F6 (Yi-SWAN)                    |2000|20090506.0484 | 1.279878 |0.997333 |129.8363 |279.1112 | 85.6326 | 6.0 |10.0 | MPC 72850
C/2009 G1 (STEREO)                     |2000|20090414.5367 | 1.132369 |0.997275 |175.3544 |120.4317 |108.7493 | 9.0 |10.0 | MPC 66466
C/2009 K2 (Catalina)                   |2000|20100208.8520 | 3.229055 |0.996502 |147.5993 |123.5620 | 66.8648 |10.0 |10.0 | MPC 82315
C/2009 K4 (Gibbs)                      |2000|20090617.6555 | 1.566062 |0.963004 |127.7868 | 29.8878 | 34.8268 |13.0 |10.0 | MPC 66703
C/2009 K5 (McNaught)                   |2000|20100430.8535 | 1.421537 |0.999465 | 66.1824 |258.1129 |104.2870 | 7.5 |10.0 | MPC 82315
C/2009 O2 (Catalina)                   |2000|20100324.4446 | 0.703735 |0.997293 |133.7051 |310.6791 |107.7405 |11.0 |10.0 | MPC 69905
P/2009 O3 (Hill)                       |2000|20310116.9402 | 2.430695 |0.687252 |154.3572 |183.7324 | 16.2538 |12.5 |10.0 | MPC 75710
C/2009 O4 (Hill)                       |2000|20091227.3156 | 2.567465 |0.999699 |223.6997 |173.0035 | 95.8565 |10.0 |10.0 | MPC 67147
C/2009 P1 (Garradd)                    |2000|20111221.5440 | 1.562177 |0.999872 | 90.9174 |326.2614 |106.3416 | 4.0 |10.0 | MPC103843
C/2009 P2 (Boattini)                   |2000|20100206.4013 | 6.533819 |0.998969 | 76.1177 | 60.4929 |163.4117 | 6.0 |10.0 | MPC 76024
P/2009 Q1 (Hill)                       |2000|20220524.2290 | 2.789766 |0.494610 |157.1134 |173.9557 | 14.5048 |11.5 |10.0 | MPC 98557
P/2009 Q4 (Boattini)                   |2000|20201226.9778 | 1.305798 |0.582525 |320.2268 |127.4651 | 11.0153 |13.0 |20.0 | MPC112389
P/2009 Q5 (McNaught)                   |2000|20291216.9240 | 2.914550 |0.608264 |209.0175 |160.2499 | 40.9610 |10.0 |10.0 | MPC 68902
C/2009 R1 (McNaught)                   |2000|20100701.2072 | 0.414769 |1.000370 |130.8157 |323.0589 | 76.7840 | 8.0 |10.0 | MPC 82315
C/2009 S3 (Lemmon)                     |2000|20111211.8800 | 6.452306 |0.999054 |129.6264 |225.1612 | 60.4465 | 6.5 |10.0 | MPC 87062
C/2009 T1 (McNaught)                   |2000|20091010.5806 | 6.210743 |0.994700 |282.5361 | 54.4643 | 90.0373 | 6.5 |10.0 | MPC 76567
P/2009 T2 (La Sagra)                   |2000|20091227.9836 | 1.816795 |0.764831 |216.4590 |215.7635 | 27.5288 |14.0 |10.0 | MPC112389
C/2009 T3 (LINEAR)                     |2000|20100110.0391 | 2.266343 |0.998972 | 32.3363 | 60.1745 |148.5876 |12.5 |10.0 | MPC 82315
C/2009 U3 (Hill)                       |2000|20100316.1380 | 1.432005 |0.991815 | 78.0190 | 49.0930 | 51.0777 |13.0 |10.0 | MPC 70812
P/2009 U4 (McNaught)                   |2000|20210201.1412 | 1.646455 |0.675928 |259.8529 | 55.3599 | 10.0818 |14.0 |10.0 | MPC 75711
C/2009 U5 (Grauer)                     |2000|20100620.5664 | 6.135633 |1.003271 | 24.2158 |121.1006 | 25.4222 | 7.0 |10.0 | MPC 82315
C/2009 UG89 (Lemmon)                   |2000|20101211.7982 | 3.949718 |1.005524 | 60.7201 |321.0681 |130.2258 | 9.0 |10.0 | MPC 82315
C/2009 W2 (Boattini)                   |2000|20100506.6927 | 6.892608 |0.998506 |121.4539 |199.5811 |164.4958 | 7.0 |10.0 | MPC 72851
P/2009 WX51 (Catalina)                 |2000|20201116.3635 | 0.799936 |0.740172 |118.0683 | 31.6889 |  9.5957 |19.0 | 5.0 | MPC105235
C/2009 Y1 (Catalina)                   |2000|20110129.6645 | 2.498608 |0.992564 |127.0810 |160.1337 |107.3262 | 9.0 |10.0 | MPC 82316
P/2009 Y2 (Kowalski)                   |2000|20261206.5867 | 2.385180 |0.635744 |172.2003 |262.0236 | 29.9272 |13.0 |10.0 | MPC 74247
P/2010 A3 (Hill)                       |2000|20250314.8822 | 1.622135 |0.732956 | 41.7978 | 64.2502 | 14.8899 |14.0 |10.0 | MPC 75711
C/2010 A4 (Siding Spring)              |2000|20101010.9063 | 2.720821 |0.990390 |271.5363 |346.5001 | 96.5926 |12.5 |10.0 | MPEC 2020-H67
P/2010 A5 (LINEAR)                     |2000|20211017.4307 | 1.702527 |0.665148 |307.0886 |277.6649 |  5.7985 |13.0 |10.0 | MPC 72851
C/2010 B1 (Cardinal)                   |2000|20110206.2515 | 2.941197 |0.999418 |211.5917 |277.2921 |101.7269 | 7.5 |10.0 | MPC111766
P/2010 B2 (WISE)                       |2000|20201204.5824 | 1.617396 |0.479908 |155.9266 |  0.8517 |  8.9305 |17.0 |10.0 | MPC105235
P/2010 C1 (Scotti)                     |2000|20281023.7870 | 5.265239 |0.258608 |  3.8691 |141.8869 |  9.1285 | 9.5 |10.0 | MPC 75008
P/2010 D2 (WISE)                       |2000|20270715.7802 | 3.688547 |0.450701 |120.1413 |319.8919 | 57.0846 |16.0 |10.0 | MPC 75008
C/2010 D3 (WISE)                       |2000|20100901.8449 | 4.262376 |1.000068 |304.7554 |255.0450 | 76.3076 | 9.0 |10.0 | MPC112389
C/2010 D4 (WISE)                       |2000|20090328.8346 | 7.160615 |0.886221 | 44.4692 |266.7255 |105.8098 | 6.5 |10.0 | MPC 76025
C/2010 DG56 (WISE)                     |2000|20100514.9395 | 1.573392 |0.976367 |318.1801 |  4.0039 |160.4258 |16.0 |10.0 | MPC 74248
C/2010 E1 (Garradd)                    |2000|20091103.0200 | 2.689519 |0.975928 |297.1905 |169.3403 | 71.6434 |11.5 |10.0 | MPC 70361
P/2010 E2 (Jarnac)                     |2000|20100405.7787 | 2.412870 |0.720624 |  8.3747 |177.8254 | 15.4162 |14.0 |10.0 | MPC 75009
C/2010 E5 (Scotti)                     |2000|20091118.2075 | 3.918420 |0.843173 |148.1121 | 16.9906 | 18.9025 |10.5 |10.0 | MPC 70361
C/2010 F1 (Boattini)                   |2000|20091106.0530 | 3.618848 |0.947724 |127.7313 |344.4582 | 64.8787 | 9.5 |10.0 | MPC 72132
C/2010 F3 (Scotti)                     |2000|20100804.0082 | 5.477295 |0.915067 | 31.5338 |157.3616 |  4.6438 | 8.5 |10.0 | MPC 82316
C/2010 FB87 (WISE-Garradd)             |2000|20101107.2362 | 2.845056 |0.987656 |265.0574 | 90.0783 |107.9044 |10.0 |10.0 | MPC 82316
